,제목,주소,경도,위도
164,KBS별관점, 서울 영등포구 국제금융로8길 27-9,126.928794,37.5197647
165,국회대로점, 서울 영등포구 국회대로72길 4,126.919948,37.5302916
166,국회의사당역점, 서울 영등포구 의사당대로 22,126.917859,37.5268574
167,남부고용센터점, 서울 영등포구 양산로 71,126.891084,37.5249974
168,당산버드나루점, 서울 영등포구 버드나루로 87,126.908686,37.5259135
169,당산역점, 서울 영등포구 당산로 222,126.902250,37.5332154
170,당산중앙점, 서울 영등포구 당산로 159,126.897470,37.5289495
171,대림1동점, 서울 영등포구 도림로 198,126.902751,37.4963830
172,대림3동점, 서울 영등포구 대림로 212,126.898167,37.4995686
173,대림역점, 서울 영등포구 도림로31길 2,126.895836,37.4924937
174,도림사거리점, 서울 영등포구 도림로 326,126.901776,37.5065634
175,도림점, 서울 영등포구 도신로15길 40,126.896560,37.5085952
176,라이프점, 서울 영등포구 63로 40,126.939552,37.5191942
177,문래역점, 서울 영등포구 문래로 89,126.891940,37.5196643
178,보라매역점, 서울 영등포구 여의대방로 141,126.919959,37.4996757
179,서여의도점, 서울 영등포구 국회대로72길 17,126.921205,37.5295266
180,선유도역점, 서울 영등포구 양평로 126,126.893893,37.5382266
181,신길성애병원점, 서울 영등포구 여의대방로53길 27,126.921518,37.5118403
182,신길썬프라자점, 서울 영등포구 신길로 42,126.908609,37.4964598
183,신길아이파크점, 서울 영등포구 도림로 280,126.904202,37.5029254
184,신길역점, 서울 영등포구 영등포로 353,126.917963,37.5151265
185,신길중앙점, 서울 영등포구 도신로 229,126.916484,37.5121791
186,신풍역점, 서울 영등포구 신풍로 52-1,126.911771,37.4999311
187,양평동2가점, 서울 영등포구 선유서로25길 19,126.883732,37.5243055
188,여의나루역점, 서울 영등포구 여의나루로 113,126.930734,37.5260098
189,여의도농협재단점, 서울 영등포구 국제금융로8길 2,126.930093,37.5219820
190,여의도역점, 서울 영등포구 의사당대로 108,126.923952,37.5204645
191,영등포knk점, 서울 영등포구 영신로 220,126.904012,37.5267387
192,영등포구청점, 서울 영등포구 당산로 110,126.896594,37.5245159
193,영등포그랜드점, 서울 영등포구 양산로9길 15,126.888525,37.5265627
194,영등포본동점, 서울 영등포구 영신로19길 15,126.905975,37.5138290
195,영등포시장점, 서울 영등포구 영등포로35길 19,우편번호없음,x좌표없음
