,제목,저자,출판사,출판일,가격,ISBN
58,새롭게 시작하는 자바 프로그래밍(Java Programming) (개정판),이우진,글로벌,20170224.0,18000,9788955026917
68,Java 9 모듈 프로그래밍 (자바 모듈 프로그래밍으로 재사용 가능하고 관리하기 쉬운 코드 작성하기),코시크 코타갈,한빛미디어,20180501.0,18900,9791162240403
74,Java Programming Academy(자바 프로그래밍 아카데미),이순희,북스홀릭,20120515.0,0,9788994914633
0,Java의 정석 (최신 Java 8.0 포함),남궁성,도우출판,20160127.0,27000,9788994492032
1,JAVA (9th edition),김충석,이한미디어,20200901.0,25200,9788993163704
2,Java의 정석: 기초편 세트,남궁성,도우출판,20191230.0,22500,9788994492049
3,이것이 자바다 (교육 현장에서 가장 많이 쓰이는 JAVA 프로그래밍의 기본서),신용권^임경균,한빛미디어,20220905.0,32400,9791169210027
4,JAVA (Java Programming for beginners teaching you basic to advanced JAVA programming skills!),,Ingram Publishing,20200331.0,43020,9781761032882
5,Java,,Outlook Verlag,20180406.0,97970,9783732662708
6,Java,,TREDITION CLASSICS,20111027.0,43020,9783842418875
7,Java (An Introduction to Problem Solving & Programming),,Addison Wesley Longman,20110616.0,233420,9780132774154
8,Java (An Introduction to Problem Solving & Programming),,Addison-Wesley Professional,20140219.0,150300,9780133841084
9,Java (Just in Time),,John Wiley & Sons Inc,20100126.0,89170,9780470714300
10,Java (An Introduction to Problem Solving & Programming),,Addison-Wesley Professional,20110606.0,162200,9780132766067
11,혼자 공부하는 자바 (JAVA 8 & 11 지원/무료 동영상 강의 제공),신용권,한빛미디어,20190610.0,21600,9791162241875
12,JAVA 7 (기본부터 심화까지 해결하는 문제 해결의 길잡이),조시 주노,한빛미디어,20131101.0,0,9788968480546
13,JAVA 5 (UPGRADE),노창배,기한재,20070907.0,15300,9788970184746
14,Java 카페 (처음 만나는 자바프로그래밍),창병모^우균,도서출판 홍릉(홍릉과학출판사),20190628.0,29700,9791156006756
15,절대 JAVA (자바프로그래밍의 기초부터 안드로이드까지),강환수^조진형,인피니티북스,20140122.0,25200,9788992649889
16,Power JAVA,천인국,인피니티북스,20220225.0,31500,9791185578989
17,Java 홀릭,강성수,북스홀릭퍼블리싱,20140212.0,27000,9791185123097
18,"The Java Language Specification, Java SE 8 Edition (Java Se)","Gosling, James^Joy, Bill^Steele, Guy L., Jr.",Addison-Wesley Professional,20140506.0,78000,9780133900699
19,JAVA 언어,채현석,기한재,20130325.0,0,9788970186863
20,실무에서 바로 통하는 자바 (Java 8 대응),다케다 하루키,한빛미디어,20170701.0,25200,9788968488627
21,JAVA의 기초,안동찬,오성미디어,20100301.0,16000,9788992583688
22,C언어 & JAVA (중등교원임용시험대비 C언어 & JAVA 완벽 가이드),송광진,배움,20170102.0,0,9788964256237
23,Java 프로그래밍 (Java 6 7 8),Takezoe Naoki,정보문화사,20150920.0,19800,9788956746388
24,モダンJava,야마다 요시히로,技術評論社,20130820.0,42020,9784774158785
25,Java Se 6 (The Complete Reference),"Schildt, Herbert",McGraw-Hill Osborne Media,20061101.0,58450,9780072263855
26,Java 반양장,"Deitel, H. M./ Deitel, P.J.",Prentice-Hall,20040805.0,0,9780131483989
27,Java 반양장 (A Beginner’s Guide),"Schildt, Herbert^Schildt Herbert",McGraw-Hill/Osborne Media,20120220.0,0,9780071606325
28,개념있는 JAVA (기초 개념부터 친절하게 설명하는 완벽한 JAVA 강의),시바타 보요,영진닷컴,20190110.0,22500,9788931459562
29,On Java Road,,Random House,20220804.0,23370,9781781090817
30,Java 200제 (Java 프로그래밍 시작을 위한 입문서),조효은,정보문화사,20130729.0,0,9788956745909
31,Java本格入門 (モダンスタイルによる基礎からオブジェクト指向.實用ライブラリまで),무라타 켄이치로^아키바 마코토^사카모토 유이치로^타니모토 신^오카다 타쿠야,技術評論社,20170418.0,39130,9784774189093
32,JAVA 입문 교실 (제3판),마루노우치 토라,성안당,20140520.0,19800,9788931552881
33,객체 중심 JAVA (안드로이드를 이용한 색다른 UI 실습),강요천,프리렉,20101101.0,27000,9788965400035
34,Big Java,,Wiley-Blackwell,20130402.0,49000,9781118318775
