,제목,저자,출판사,출판일,가격,ISBN
7,"Language for Learning, Workbook C & D",,Gardners Books,20070321,50150,9780076094295
8,"The Articulate Jazz Musician: Mastering the Language of Jazz (C Instruments), Book & CD (Mastering the Language of Jazz: C Instruments)",,Alfred Pub Co,20130101,19520,9780739094464
9,Microcontrollers: From Assembly Language to C Using the PIC24 Family (From Assembly Language to C Using the Pic24 Family),,Cengage Learning,20140827,91620,9781305076556
10,"Language for Thinking, Teacher Presentation Book C",,McGraw-Hill Education - Europe,20010716,459430,9780026848862
11,Language Skills Practice Book Level C : Student’s Book,,Curriculum Associates,20040702,19800,9780760924767
12,"SPARC Architecture, Assembly Language Programming, and C","Paul, Richard P.",Prentice Hall,19990701,315350,9780130255969
13,C Programming For Beginners (The Simple Guide to Learning C Programming Language Fast!),,Ingram Publishing,20200405,43020,9781761032998
14,Objective-C Pocket Reference: A Guide to Language Fundamentals,"Duncan, Andy",Oreilly & Associates,20090120,14780,9780596004231
15,"Lectures on Language, as Particularly Connected With English Grammar: ; c.1",,Legare Street Press,20210910,34340,9781015202016
16,Programming (C ++ Programming: Programming Language For Beginners: LEARN IN A DAY!),,Lulu Press,20160107,60210,9781329779013
17,Learn C Programming - Second Edition: A beginner’s guide to learning the most powerful and general-purpose programming language with ease,,Packt Publishing,20220902,65230,9781801078450
18,A Day in Code: An illustrated story written in the C programming language,,Sundae Electronics LLC,20201124,32680,9781735907901
19,A Day in Code: An illustrated story written in the C programming language,,Sundae Electronics LLC,20201124,24080,9781735907918
20,"Language and Culture in Medieval Britain: The French of England, C.1100-C.1500 (The French of England, c.1100-c.1500)",Jocelyn Wogan-Browne,York Medieval Press,20210101,122330,9781903153277
21,Word and Story in C. S. Lewis: Language and Narrative in Theory and Practice 반양장 (Language and Narrative in Theory and Practice),Peter J. Schakel and Charles A. Huttar,Wipf & Stock,20210101,65420,9781556355875
22,Symbolic Language of Royal Authority in the Carolingian World (c.751-877) 반양장,"Garipzanov, Ildar H.",Brill Academic,20080401,398020,9789004166691
23,"Language and Culture in Medieval Britain: The French of England, C.1100-C.1500 (The French of England, c.1100-c.1500)",Jocelyn Wogan Browne,York Medieval Press,20140408,52340,9781903153475
24,"Software Development for Engineers (With C, Pascal, C++, Assembly Language, Visual Basic, Html, Javascript and Java)",,Butterworth-Heinemann,19970926,375580,9780340700143
25,"C Programming (C Programming Language for beginners, teaching you how to learn to code in C fast!)",,Ingram Publishing,20200331,43020,9781761032899
26,"Silence and Sign Language in Medieval Monasticism : The Cluniac Tradition, C. 900-1200 (The Cluniac Tradition, C.900-1200)","Bruce, Scott G.",Cambridge,20210101,63680,9780521123938
27,C Programming For Beginners: The Simple Guide to Learning C Programming Language Fast!,,Ingram Publishing,20191217,25800,9781761030246
28,"Understanding Interaction: The Relationships Between People, Technology, Culture, and the Environment: Volume 1: Evolution, Technology, Language and C",,Auerbach Publications,20220530,65160,9781032157658
29,"C Programming: C Programming Language for beginners, teaching you how to learn to code in C fast!",,Ingram Publishing,20190701,25800,9781925989526
