,제목,저자,출판사,출판일,가격,ISBN
92,Visual Basic .Net and XML: Harness the Power of XML in VB.NET Applications,"Stephens, Rod/ Hochgurtel, Brian",John Wiley & Sons,20020201.0,74290,9780471120605
93,Sams Teach Yourself More Visual Basic 6 in 21 Days (Teach Yourself...) 반양장,"Mauer, Lowell",Sams,19980801.0,0,9780672313073
94,Visual Basic .NET 2010 praxisorientiert: Band 1: Programmieren f?r Windows,,Books on Demand,20100823.0,37010,9783842300149
95,Das VB.Net Schulerbuch: Windows-Programmierung lernen mit Visual Basic.Net,,Books on Demand,20050818.0,58360,9783833435423
96,Xna 4.0 Game Development by Example: Beginner’s Guide - Visual Basic Edition,,Packt Publishing,20111226.0,49660,9781849692403
97,COBOL and Visual Basic on .Net: A Guide for the Reformed Mainframe Programmer (A Guide for the Reformed Mainframe Programmer),,Apress,20030401.0,130480,9781590590485
98,"Developing Applications Using Outlook 2000, Cdo, Exchange, and Visual Basic 반양장","Piemonte, Raffaele/ Jamison, Scott",Addison-Wesley,19991015.0,0,9780201615753
99,"Software Development for Engineers (With C, Pascal, C++, Assembly Language, Visual Basic, Html, Javascript and Java)",,Butterworth-Heinemann,19970926.0,375580,9780340700143
0,New Perspectives on Microsoft Access 2003 With Visual Basic for Applications 반양장,"Briggs, Anthony D./ Goldberg, Rachel (EDT)",Thomson Learning,20041101.0,0,9780619206734
1,Visual Basic .NET 2010 praxisorientiert: Band 2: Datenbanken und Web-Anwendungen,,Books on Demand,20101109.0,37010,9783842307223
2,Dan Appleman’s Win32 Api Puzzle Book and Tutorial for Visual Basic Programmers 반양장,"Appleman, Daniel/ Baumgartner, Peter",Baker & Taylor,19990101.0,0,9781893115019
3,"Database Programming with Visual Basic .Net and ADO.NET: Tips, Tutorials, and Code (Tips, Tutorials, and Code)",,Sams,20020901.0,59430,9780672322471
4,Windows Speech Recognition Programming: With Visual Basic and ActiveX Voice Controls,,iUniverse,20040201.0,46390,9780595308439
5,Visual Basic and Databases 2019 Edition: A Step-By-Step Database Programming Tutorial,,Kidware Software,20190801.0,146270,9781951077129
6,ACCESS VBA MADE ACCESSIBLE (How to Steer Access Using Visual Basic for Applications A COMPLETE COURSE ON Access VBA),,Independent Pub Group,20050430.0,147130,9781932802092
7,Practical Guidelines And Best Practices For Microsoft Visual Basic And Visual C# Developers,,Microsoft Press,20050323.0,74290,9780735621725
8,Start-to-Finish Visual Basic 2005: Learn Visual Basic 2005 as You Design and Develop a Complete Appl,Patrick,Addison-Wesley,20210101.0,0,9780321398000
9,DEVELOPING Windows-Based Applications WITH MICROSOFT VISUAL BASIC .NET AND MICROSOFT VISUAL C# .NET (MCAD/MCSD Exam 70-306 and 316 Self-Paced Training Kit),,정보문화사,20030131.0,27000,9788956740621
10,Starting Out with Visual Basic 2012 Plus Myprogramminglab with Pearson Etext -- Access Card Package,,Pearson College Div,20130716.0,234740,9780133441871
11,Schaum’s Outline of Theory and Problems of Programming With Visual Basic : Schaum’s Outline of Theor 반양장 (Schaum’s Outline of Theory and Problems),"Gottfried, Byron S.",McGraw-Hill,20210101.0,40120,9780071356718
